Episode,Avg length,Avg prey reward,Avg predator reward
8520,494,0.04699323268139183,0.24935755789457067
8540,515,0.06487488740468549,0.26904425360873435
8560,545,0.046817567672602964,0.25845100843440355
8580,552,0.06217613920199996,0.26545259738417526
8600,625,0.06622759471713156,0.25507711254141957
8620,534,0.053581899516840434,0.2579053954027724
8640,559,0.058903081938769586,0.25441070201539084
8660,590,0.05775390574268972,0.24612020642325266
8680,517,0.05412706924083664,0.27770123025946003
8700,511,0.05666210695214596,0.27684339589690354
8720,534,0.05557646227340497,0.2624620484411906
8740,512,0.05429669129933966,0.2577855385810717
8760,630,0.051126786490058564,0.24577131817165201
8780,455,0.05182484239490602,0.2661252181990891
8800,525,0.05080786880371393,0.2663666507545677
8820,590,0.04711335028775322,0.27819118639626983
8840,613,0.06684237407416618,0.2599043468502599
8860,481,0.06169111429496077,0.27498979854977057
8880,650,0.0641957694552372,0.24598509037944552
8900,534,0.049793395009148804,0.2632800573018988
8920,507,0.05469786803284952,0.2642598801242717
8940,550,0.06484960770019035,0.2667206799497138
8960,531,0.05098610680197705,0.26730655092629485
8980,543,0.061597629531404394,0.26329049002794547
9000,561,0.05220235041117209,0.2692517013975013
9020,524,0.04925267106947691,0.2716850766843665
9040,515,0.043563474486411194,0.2828425075795364
9060,486,0.05436464006011865,0.2784755249361857
9080,432,0.05726574940393425,0.29190285224245704
9100,446,0.05128228055642979,0.28048420700829174
9120,497,0.05281759102377376,0.2769335745009109
9140,534,0.04923850518562633,0.26708980942180593
9160,476,0.03621151035077892,0.27465369585964483
9180,456,0.044592401384476475,0.2781357519022325
9200,457,0.05020197914683564,0.29229723171587907
9220,466,0.042123400933964855,0.2791367055897854
9240,591,0.05543252021248805,0.2741978242432576
9260,501,0.05584764828408538,0.2662264975538439
9280,611,0.062518694778973,0.24811608496884996
9300,495,0.05912883430148447,0.2681254094709192
9320,441,0.05717888581320156,0.28100412685233345
9340,511,0.05166218118900727,0.2874923787644891
9360,519,0.06433487178876932,0.27583985193851757
9380,463,0.05417010808921602,0.2843624640467196
9400,421,0.05963988883230579,0.27961116162003113
9420,378,0.05920033354107986,0.3018983451624622
9440,425,0.05066311225140306,0.2888617581749429
